N,Lambda,Error,Time,Shape
10.0,10.0,0.005297317841276573,0.0068187713623046875,121.0
20.0,20.0,0.0012778365232215376,0.016591787338256836,441.0
40.0,40.0,0.0003137264250308983,0.07515096664428711,1681.0
80.0,80.0,7.771909340819527e-05,0.3181746006011963,6561.0
160.0,160.0,1.9340918369603534e-05,1.3117778301239014,25921.0
320.0,320.0,4.8241361637195605e-06,4.239635467529297,103041.0
