N,Lambda,Error,Time,Shape
10.0,10.0,0.0017382731924082747,0.0078051090240478516,121.0
20.0,20.0,0.00045616923252940825,0.0253756046295166,441.0
40.0,40.0,0.00011707794759414511,0.07027125358581543,1681.0
80.0,80.0,2.9656993975143453e-05,0.2644650936126709,6561.0
160.0,160.0,7.460712872887323e-06,1.228377342224121,25921.0
320.0,320.0,1.8709320975858224e-06,4.565268516540527,103041.0
